Unieke code,Exp_day,Datum,Cosm,Coding,Treatment,Cos.chla.bl.PAM,Totaal Chl-A watercolumn,Cos.yield.bl.PAM,disPO4,disN,TP,DO,pH,light_k,light_4perc
70,30,24/07/2019,16,Controle,Controle,0,0.72,0,0.024,2.117,26.274,9.868214286,9.226428571,1.671817052,1.914085035
71,30,24/07/2019,20,Controle,Controle,16.81,82.53,0.55,0.015,1.9,105.9316667,12.30461538,9.26,2.867806224,1.115835503
72,30,24/07/2019,1,Gebaggerd,Gebaggerd,1.58,13.68,0.53,0.183,2.483,62.76633333,9.408636364,9.168181818,2.006458303,1.594849988
73,30,24/07/2019,7,Gebaggerd,Gebaggerd,0.43,1.44,0,0.034,1.273,24.784,12.28190476,9.460674603,2.009710398,1.592269216
74,30,24/07/2019,11,Gebaggerd,Gebaggerd,1.91,7.73,0.40,0.044,1.541,80.62733333,8.590714286,9.050357143,1.835266885,1.743615616
75,30,24/07/2019,17,Gebaggerd,Gebaggerd,0,1.11,0,0.034,1.534,48.034,11.99142857,9.513690476,1.755861461,1.822467246
76,30,24/07/2019,control,0,Gracht,15.01,91.28,0.52,0.016,1.927,146.3493333,12.47392857,9.417857143,1.981761474,1.614725103
77,30,24/07/2019,5,IJzerkalkslib,IJzerkalkslib,0,2.02,0,0.056,2.915,33.806,7.968571429,8.934642857,1.781957645,1.795777811
78,30,24/07/2019,8,IJzerkalkslib,IJzerkalkslib,0.60,2.58,0,0.119,3.228,60.619,8.091111111,8.905277778,2.426362074,1.318846859
79,30,24/07/2019,10,IJzerkalkslib,IJzerkalkslib,5.97,21.25,0,0.013,3.737,29.67966667,9.441764706,9.183823529,2.238465201,1.429550926
80,30,24/07/2019,15,IJzerkalkslib,IJzerkalkslib,0.12,2.96,0.9,0.12,2.813,62.37,8.355238095,8.945952381,2.036794387,1.571096239
81,30,24/07/2019,6,Phoslock,Phoslock,0.67,4.55,0.68,0.255,3.729,36.08833333,8.105,8.966785714,1.894277791,1.689298167
82,30,24/07/2019,9,Phoslock,Phoslock,0.12,2.35,0,0.105,3.273,65.77166667,9.546071429,9.080357143,2.166090169,1.477316155
83,30,24/07/2019,13,Phoslock,Phoslock,2.22,8.95,0.70,0.075,3.043,47.575,8.666,8.987333333,2.446628489,1.307922316
84,30,24/07/2019,19,Phoslock,Phoslock,1.51,7.34,0.86,0.028,1.741,105.9446667,7.155882353,8.854705882,2.917577844,1.096800213
85,45,07/08/2019,3,Belucht,Belucht,9.28,62.78,0.94,0.08,2.271,34.99666667,11.361875,9.4334375,3.281366724,0.975203404
86,45,07/08/2019,4,Belucht,Belucht,5.79,52.13,0.95,0.055,3.504,110.055,10.93454545,9.436363636,1.635035442,1.95714412
87,45,07/08/2019,12,Belucht,Belucht,11.26,50.49,0.65,0.038,2.521,59.038,NA,NA,NA,NA
88,45,07/08/2019,18,Belucht,Belucht,6.18,35.78,0,0.03,2.478,87.78,9.138636364,9.072272727,2.383187496,1.342739506
89,45,07/08/2019,2,Controle,Controle,4.86,29.03,0.67,0.037,2.384,62.537,10.84611111,9.436666667,2.29341002,1.39530218
90,45,07/08/2019,14,Controle,Controle,7.48,14.62,0.24,0.077,2.827,58.577,10.24318182,9.428181818,2.387109513,1.340533387
91,45,07/08/2019,16,Controle,Controle,1.20,10.29,0.54,0.059,1.95,142.559,8.947380952,8.914404762,2.063189544,1.550996615
92,45,07/08/2019,20,Controle,Controle,18.88,81,0.79,0.01,1.853,117.3433333,10.13291667,9.074583333,2.133261559,1.500050468
93,45,07/08/2019,1,Gebaggerd,Gebaggerd,5.38,20.01,0.49,0.039,5.506,97.95566667,11.85,9.360833333,2.752852216,1.162430726
94,45,07/08/2019,7,Gebaggerd,Gebaggerd,1.79,5.78,0.44,0.092,2.357,70.842,10.31915966,9.168235294,2.404145573,1.331034209
95,45,07/08/2019,11,Gebaggerd,Gebaggerd,10.98,33.59,0.60,0.031,3.706,66.781,10.70633333,9.180333333,2.171660248,1.473526995
96,45,07/08/2019,17,Gebaggerd,Gebaggerd,0,6.15,0.8,0.074,0.939,26.90733333,11.19714286,9.22,2.445032641,1.308775984
97,45,07/08/2019,control,0,Gracht,21.59,91.93,0.84,0.022,3.039,150.4386667,9.906394737,9.055921053,2.387772224,1.34016133
98,45,07/08/2019,5,IJzerkalkslib,IJzerkalkslib,1.36,2.97,0.07,0.098,3.143,74.76466667,8.451833333,8.839,2.883798319,1.10964764
99,45,07/08/2019,8,IJzerkalkslib,IJzerkalkslib,2.41,5.07,0,0.103,3.567,70.76966667,8.402222222,8.774444444,3.041032509,1.052274183
100,45,07/08/2019,10,IJzerkalkslib,IJzerkalkslib,21.88,87.34,0.85,0.017,2.21,27.517,10.125,9.097777778,2.270038505,1.409667718
101,45,07/08/2019,15,IJzerkalkslib,IJzerkalkslib,3.21,7.03,0.40,0.064,3.111,66.23066667,9.490833333,9.1875,2.302821078,1.389599926
102,45,07/08/2019,6,Phoslock,Phoslock,0,10.21,0,0.075,3.85,37.74166667,9.352,8.927,1.878807015,1.703208458
103,45,07/08/2019,9,Phoslock,Phoslock,1.26,2.73,0,0.037,2.476,96.787,8.6264,8.8245,2.027934081,1.577960561
104,45,07/08/2019,13,Phoslock,Phoslock,4.25,8.63,0.21,0.056,3.12,66.88933333,8.757692308,9.162307692,2.079592872,1.538762727
105,45,07/08/2019,19,Phoslock,Phoslock,1.18,7.56,0.84,0.031,4.807,174.6976667,8.855614035,8.859473684,2.450152579,1.306041113
106,60,29/08/2019,3,Belucht,Belucht,12.33,51.15,0.88,0.029,0.7,117.3623333,5.15,9.38,2.71338355,1.179339353
107,60,29/08/2019,4,Belucht,Belucht,7.43,39.1,0.71,0.026,0.476,97.776,5.35,9.425,2.41552703,1.324762654
108,60,29/08/2019,12,Belucht,Belucht,13.11,57.5,0.66,0.021,0.396,99.771,5.885555556,9.488888889,3.360823521,0.952147585
109,60,29/08/2019,18,Belucht,Belucht,10.83,48.71,0.63,0.004,0.518,79.58733333,5.34525641,9.131538462,3.447543847,0.928197042
110,60,29/08/2019,2,Controle,Controle,14.14,56.5,0.88,0.062,1.245,68.89533333,6.132592593,9.19537037,2.220858208,1.440884424
111,60,29/08/2019,14,Controle,Controle,12.76,52.7,0.5,0.023,0.34,155.3563333,6.567916667,9.608333333,2.171925899,1.473346766
112,60,29/08/2019,16,Controle,Controle,2.62,7.74,0,0.044,0.415,41.12733333,5.977,9.186,2.208116044,1.449199198
113,60,29/08/2019,20,Controle,Controle,16.25,85.16,0.91,0.007,0.594,111.257,4.94025641,8.93974359,2.721979069,1.175615212
114,60,29/08/2019,1,Gebaggerd,Gebaggerd,8.05,30.64,0.50,0.083,0.893,103.9996667,5.735,9.253333333,2.682126518,1.193083167
115,60,29/08/2019,7,Gebaggerd,Gebaggerd,2.15,9.68,0,0.092,0.722,29.00866667,5.77,9.101428571,2.187119755,1.46311147
116,60,29/08/2019,11,Gebaggerd,Gebaggerd,7.05,31.55,0.65,0.036,0.508,99.11933333,6.305454545,9.309090909,2.552696923,1.253576157
117,60,29/08/2019,17,Gebaggerd,Gebaggerd,1.76,3.93,0,0.012,0,29.17866667,6.526666667,9.882,2.176398179,1.470319186
118,60,29/08/2019,control,0,Gracht,20.10,97.22,0,0.001,0.332,113.501,4.62625,9.12,3.385439769,0.945224319
119,60,29/08/2019,5,IJzerkalkslib,IJzerkalkslib,4.54,14.92,0,0.036,0.692,75.95266667,6.182857143,9.337142857,2.711434984,1.180186882
120,60,29/08/2019,8,IJzerkalkslib,IJzerkalkslib,7.93,27.83,0.87,0.016,0.391,96.93266667,5.520555556,9.025555556,2.858681992,1.119396984
121,60,29/08/2019,10,IJzerkalkslib,IJzerkalkslib,11.97,58.05,0.69,0.008,0.463,75.008,4.882727273,8.972727273,3.203108306,0.999029597
122,60,29/08/2019,15,IJzerkalkslib,IJzerkalkslib,2.64,7.96,0.14,0.028,0.334,93.028,6.61,9.765,3.541063628,0.903683282
123,60,29/08/2019,6,Phoslock,Phoslock,6.02,27.9,0.83,0.094,0.603,8.677333333,5.452666667,9.065111111,2.526945018,1.266351257
124,60,29/08/2019,9,Phoslock,Phoslock,1.53,2.12,0.57,0.032,0.409,188.6986667,4.761,8.825,2.43629343,1.313470685
125,60,29/08/2019,13,Phoslock,Phoslock,6.56,28.37,0.46,0.028,0.333,192.9446667,6.423416667,9.489666667,2.079701656,1.538682238
126,60,29/08/2019,19,Phoslock,Phoslock,8.05,46.22,0.7,0.012,0.31,115.8453333,5.057307692,8.970769231,2.417361462,1.323757349
